Year,GEO,After-tax income#Economic families#Median income#2018 constant dollars#units#11100237_StatsCanada
2002,"Vancouver, British Columbia",72900
2002,"Winnipeg, Manitoba",68900
2003,Alberta,75500
2003,Atlantic provinces,56700
2003,British Columbia,66700
2003,"Calgary, Alberta",76600
2003,Canada,67800
2003,"Edmonton, Alberta",80900
2003,Manitoba,63200
2003,"Montréal, Quebec",63000
2003,New Brunswick,56800
2003,Newfoundland and Labrador,53200
2003,Nova Scotia,58500
2003,Ontario,75600
2003,"Ottawa-Gatineau, Ontario/Quebec",82400
2003,Prairie provinces,70300
2003,Prince Edward Island,56800
2003,Quebec,59900
2003,"Québec, Quebec",68100
2003,Saskatchewan,62400
2003,"Toronto, Ontario",79600
2003,"Vancouver, British Columbia",72000
2003,"Winnipeg, Manitoba",67700
2004,Alberta,78800
2004,Atlantic provinces,57700
2004,British Columbia,68800
2004,"Calgary, Alberta",81800
2004,Canada,68700
2004,"Edmonton, Alberta",81300
2004,Manitoba,64000
2004,"Montréal, Quebec",62500
2004,New Brunswick,58800
2004,Newfoundland and Labrador,53000
2004,Nova Scotia,59600
2004,Ontario,75400
2004,"Ottawa-Gatineau, Ontario/Quebec",85000
2004,Prairie provinces,71700
2004,Prince Edward Island,58900
2004,Quebec,60700
2004,"Québec, Quebec",68100
2004,Saskatchewan,62800
2004,"Toronto, Ontario",79300
2004,"Vancouver, British Columbia",70100
2004,"Winnipeg, Manitoba",69700
2005,Alberta,80600
2005,Atlantic provinces,58300
2005,British Columbia,71200
2005,"Calgary, Alberta",86800
2005,Canada,69800
2005,"Edmonton, Alberta",83000
2005,Manitoba,65700
2005,"Montréal, Quebec",65800
2005,New Brunswick,56600
2005,Newfoundland and Labrador,53700
2005,Nova Scotia,61500
2005,Ontario,76100
2005,"Ottawa-Gatineau, Ontario/Quebec",86200
2005,Prairie provinces,74300
2005,Prince Edward Island,59400
2005,Quebec,62800
2005,"Québec, Quebec",66700
2005,Saskatchewan,64300
2005,"Toronto, Ontario",77800
2005,"Vancouver, British Columbia",75000
2005,"Winnipeg, Manitoba",70100
2006,Alberta,87700
2006,Atlantic provinces,61000
2006,British Columbia,75000
2006,"Calgary, Alberta",94100
2006,Canada,71900
2006,"Edmonton, Alberta",89700
2006,Manitoba,66400
2006,"Montréal, Quebec",66300
2006,New Brunswick,59400
2006,Newfoundland and Labrador,57200
2006,Nova Scotia,63700
2006,Ontario,76900
2006,"Ottawa-Gatineau, Ontario/Quebec",87500
2006,Prairie provinces,79400
2006,Prince Edward Island,62600
2006,Quebec,63700
2006,"Québec, Quebec",67900
2006,Saskatchewan,68600
2006,"Toronto, Ontario",78000
2006,"Vancouver, British Columbia",78700
2006,"Winnipeg, Manitoba",72000
2007,Alberta,90700
2007,Atlantic provinces,63300
2007,British Columbia,76900
2007,"Calgary, Alberta",94900
2007,Canada,74500
2007,"Edmonton, Alberta",95700
2007,Manitoba,70800
2007,"Montréal, Quebec",68700
2007,New Brunswick,61500
2007,Newfoundland and Labrador,61400
2007,Nova Scotia,65200
2007,Ontario,78900
2007,"Ottawa-Gatineau, Ontario/Quebec",89400
2007,Prairie provinces,83300
2007,Prince Edward Island,64500
2007,Quebec,66000
2007,"Québec, Quebec",72600
2007,Saskatchewan,71900
2007,"Toronto, Ontario",79400
2007,"Vancouver, British Columbia",81000
2007,"Winnipeg, Manitoba",76200
2008,Alberta,91800
2008,Atlantic provinces,63100
2008,British Columbia,81400
2008,"Calgary, Alberta",97200
2008,Canada,75600
2008,"Edmonton, Alberta",91000
2008,Manitoba,72400
2008,"Montréal, Quebec",69400
2008,New Brunswick,63100
2008,Newfoundland and Labrador,62700
2008,Nova Scotia,62800
2008,Ontario,79100
2008,"Ottawa-Gatineau, Ontario/Quebec",89000
2008,Prairie provinces,84900
2008,Prince Edward Island,65600
2008,Quebec,66700
2008,"Québec, Quebec",79700
2008,Saskatchewan,76700
2008,"Toronto, Ontario",82900
2008,"Vancouver, British Columbia",83500
2008,"Winnipeg, Manitoba",78500
2009,Alberta,94300
2009,Atlantic provinces,65300
2009,British Columbia,79400
2009,"Calgary, Alberta",99000
2009,Canada,75800
2009,"Edmonton, Alberta",94900
2009,Manitoba,73800
2009,"Montréal, Quebec",70400
2009,New Brunswick,65700
2009,Newfoundland and Labrador,64200
2009,Nova Scotia,64700
2009,Ontario,77700
2009,"Ottawa-Gatineau, Ontario/Quebec",89700
2009,Prairie provinces,86600
2009,Prince Edward Island,66500
2009,Quebec,68200
2009,"Québec, Quebec",79900
2009,Saskatchewan,82500
2009,"Toronto, Ontario",80200
2009,"Vancouver, British Columbia",81600
2009,"Winnipeg, Manitoba",81100
2010,Alberta,91600
2010,Atlantic provinces,65800
2010,British Columbia,78600
2010,"Calgary, Alberta",95600
2010,Canada,75900
2010,"Edmonton, Alberta",93900
2010,Manitoba,76000
2010,"Montréal, Quebec",66900
2010,New Brunswick,68100
2010,Newfoundland and Labrador,65300
2010,Nova Scotia,65200
2010,Ontario,79700
2010,"Ottawa-Gatineau, Ontario/Quebec",90100
2010,Prairie provinces,85900
2010,Prince Edward Island,65100
2010,Quebec,66900
2010,"Québec, Quebec",81200
2010,Saskatchewan,80700
2010,"Toronto, Ontario",87200
2010,"Vancouver, British Columbia",80200
2010,"Winnipeg, Manitoba",80600
2011,Alberta,94200
2011,Atlantic provinces,68000
2011,British Columbia,79300
2011,"Calgary, Alberta",102800
2011,Canada,76600
2011,"Edmonton, Alberta",94500
2011,Manitoba,73400
2011,"Montréal, Quebec",67200
2011,New Brunswick,67700
2011,Newfoundland and Labrador,68500
2011,Nova Scotia,68600
2011,Ontario,79300
2011,"Ottawa-Gatineau, Ontario/Quebec",94100
2011,Prairie provinces,87300
2011,Prince Edward Island,66700
2011,Quebec,67500
2011,"Québec, Quebec",80200
2011,Saskatchewan,84200
2011,"Toronto, Ontario",83500
2011,"Vancouver, British Columbia",81800
2011,"Winnipeg, Manitoba",79600
2012,Alberta,99900
2012,Atlantic provinces,67800
2012,British Columbia,79700
2012,"Calgary, Alberta",111600
2012,Canada,78600
2012,"Edmonton, Alberta",100800
2012,Manitoba,75300
2012,"Montréal, Quebec",72200
2012,New Brunswick,65300
2012,Newfoundland and Labrador,71200
2012,Nova Scotia,68500
2012,Ontario,80900
2012,"Ottawa-Gatineau, Ontario/Quebec",98700
2012,Prairie provinces,92200
2012,Prince Edward Island,66100
2012,Quebec,70100
2012,"Québec, Quebec",72500
2012,Saskatchewan,85500
2012,"Toronto, Ontario",85400
2012,"Vancouver, British Columbia",81900
2012,"Winnipeg, Manitoba",77600
2013,Alberta,99400
2013,Atlantic provinces,69400
2013,British Columbia,80700
2013,"Calgary, Alberta",112100
2013,Canada,78800
2013,"Edmonton, Alberta",105500
2013,Manitoba,76100
2013,"Montréal, Quebec",74400
2013,New Brunswick,66300
2013,Newfoundland and Labrador,74100
2013,Nova Scotia,69900
2013,Ontario,80100
2013,"Ottawa-Gatineau, Ontario/Quebec",98500
2013,Prairie provinces,92600
2013,Prince Edward Island,70400
2013,Quebec,70700
2013,"Québec, Quebec",82900
2013,Saskatchewan,85000
2013,"Toronto, Ontario",80600
2013,"Vancouver, British Columbia",85600
2013,"Winnipeg, Manitoba",77800
2014,Alberta,99300
2014,Atlantic provinces,70700
2014,British Columbia,82200
2014,"Calgary, Alberta",113000
2014,Canada,80600
2014,"Edmonton, Alberta",97500
2014,Manitoba,76400
2014,"Montréal, Quebec",77000
2014,New Brunswick,68400
2014,Newfoundland and Labrador,76800
2014,Nova Scotia,70000
2014,Ontario,83300
2014,"Ottawa-Gatineau, Ontario/Quebec",97500
2014,Prairie provinces,92900
2014,Prince Edward Island,69900
2014,Quebec,71400
2014,"Québec, Quebec",74600
2014,Saskatchewan,89500
2014,"Toronto, Ontario",85700
2014,"Vancouver, British Columbia",88400
2014,"Winnipeg, Manitoba",78900
2015,Alberta,100700
2015,Atlantic provinces,72200
2015,British Columbia,83800
2015,"Calgary, Alberta",103100
2015,Canada,81000
2015,"Edmonton, Alberta",104500
2015,Manitoba,77400
2015,"Montréal, Quebec",73400
2015,New Brunswick,69500
2015,Newfoundland and Labrador,79900
2015,Nova Scotia,72000
2015,Ontario,84000
2015,"Ottawa-Gatineau, Ontario/Quebec",95600
2015,Prairie provinces,93500
2015,Prince Edward Island,70900
2015,Quebec,72100
2015,"Québec, Quebec",75800
2015,Saskatchewan,88300
2015,"Toronto, Ontario",86600
2015,"Vancouver, British Columbia",94000
2015,"Winnipeg, Manitoba",80700
2016,Alberta,96400
2016,Atlantic provinces,71200
2016,British Columbia,85300
2016,"Calgary, Alberta",93200
2016,Canada,81500
2016,"Edmonton, Alberta",108200
2016,Manitoba,77500
2016,"Montréal, Quebec",77000
2016,New Brunswick,67900
2016,Newfoundland and Labrador,74900
2016,Nova Scotia,71600
2016,Ontario,84000
2016,"Ottawa-Gatineau, Ontario/Quebec",95100
2016,Prairie provinces,91000
2016,Prince Edward Island,73000
2016,Quebec,73100
2016,"Québec, Quebec",80100
2016,Saskatchewan,85600
2016,"Toronto, Ontario",85900
2016,"Vancouver, British Columbia",89100
2016,"Winnipeg, Manitoba",80300
2017,Alberta,100100
2017,Atlantic provinces,71500
2017,British Columbia,86400
2017,"Calgary, Alberta",102200
2017,Canada,83000
2017,"Edmonton, Alberta",106100
2017,Manitoba,80800
2017,"Montréal, Quebec",76200
2017,New Brunswick,70400
