Year,GEO,"RATE_Care providers and educational, legal and public protection support occupations [44]#Persons#thousands#14100314_StatsCanada"
2016,"Brantford, Ontario",
2016,"Calgary, Alberta",12.4
2016,"Edmonton, Alberta",11.9
2016,"Greater Sudbury, Ontario",
2016,"Guelph, Ontario",
2016,"Halifax, Nova Scotia",3.4
2016,"Hamilton, Ontario",6.0
2016,"Kelowna, British Columbia",
2016,"Kingston, Ontario",2.0
2016,"Kitchener-Cambridge-Waterloo, Ontario",2.8
2016,"London, Ontario",2.4
2016,"Moncton, New Brunswick",1.6
2016,"Montréal, Quebec",12.0
2016,"Oshawa, Ontario",4.2
2016,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",8.9
2016,"Ottawa-Gatineau, Ontario/Quebec",10.0
2016,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",
2016,"Peterborough, Ontario",
2016,"Québec, Quebec",2.1
2016,"Regina, Saskatchewan",1.9
2016,"Saguenay, Quebec",
2016,"Saint John, New Brunswick",1.1
2016,"Saskatoon, Saskatchewan",2.9
2016,"Sherbrooke, Quebec",
2016,"St. Catharines-Niagara, Ontario",2.9
2016,"St. John's, Newfoundland and Labrador",2.5
2016,"Thunder Bay, Ontario",
2016,"Toronto, Ontario",42.4
2016,"Trois-Rivières, Quebec",
2016,"Vancouver, British Columbia",20.5
2016,"Victoria, British Columbia",3.3
2016,"Windsor, Ontario",1.8
2016,"Winnipeg, Manitoba",8.7
2017,"Abbotsford-Mission, British Columbia",2.0
2017,"Barrie, Ontario",
2017,"Brantford, Ontario",
2017,"Calgary, Alberta",10.6
2017,"Edmonton, Alberta",12.1
2017,"Greater Sudbury, Ontario",
2017,"Guelph, Ontario",
2017,"Halifax, Nova Scotia",3.1
2017,"Hamilton, Ontario",5.2
2017,"Kelowna, British Columbia",
2017,"Kingston, Ontario",2.1
2017,"Kitchener-Cambridge-Waterloo, Ontario",3.5
2017,"London, Ontario",3.3
2017,"Moncton, New Brunswick",1.4
2017,"Montréal, Quebec",17.4
2017,"Oshawa, Ontario",2.0
2017,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",4.8
2017,"Ottawa-Gatineau, Ontario/Quebec",6.1
2017,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",
2017,"Peterborough, Ontario",
2017,"Québec, Quebec",1.8
2017,"Regina, Saskatchewan",1.3
2017,"Saguenay, Quebec",
2017,"Saint John, New Brunswick",1.3
2017,"Saskatoon, Saskatchewan",2.6
2017,"Sherbrooke, Quebec",
2017,"St. Catharines-Niagara, Ontario",2.3
2017,"St. John's, Newfoundland and Labrador",2.1
2017,"Thunder Bay, Ontario",
2017,"Toronto, Ontario",43.9
2017,"Trois-Rivières, Quebec",
2017,"Vancouver, British Columbia",18.9
2017,"Victoria, British Columbia",4.2
2017,"Windsor, Ontario",2.1
2017,"Winnipeg, Manitoba",9.9
2018,"Abbotsford-Mission, British Columbia",2.2
2018,"Barrie, Ontario",
2018,"Brantford, Ontario",
2018,"Calgary, Alberta",10.2
2018,"Edmonton, Alberta",11.7
2018,"Greater Sudbury, Ontario",
2018,"Guelph, Ontario",
2018,"Halifax, Nova Scotia",2.5
2018,"Hamilton, Ontario",5.6
2018,"Kelowna, British Columbia",
2018,"Kingston, Ontario",2.4
2018,"Kitchener-Cambridge-Waterloo, Ontario",2.4
2018,"London, Ontario",3.8
2018,"Moncton, New Brunswick",1.8
2018,"Montréal, Quebec",25.5
2018,"Oshawa, Ontario",3.3
2018,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",6.5
2018,"Ottawa-Gatineau, Ontario/Quebec",8.3
2018,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",1.7
2018,"Peterborough, Ontario",
2018,"Québec, Quebec",3.0
2018,"Regina, Saskatchewan",1.2
2018,"Saguenay, Quebec",
2018,"Saint John, New Brunswick",1.4
2018,"Saskatoon, Saskatchewan",2.9
2018,"Sherbrooke, Quebec",
2018,"St. Catharines-Niagara, Ontario",2.1
2018,"St. John's, Newfoundland and Labrador",2.0
2018,"Thunder Bay, Ontario",
2018,"Toronto, Ontario",39.1
2018,"Trois-Rivières, Quebec",
2018,"Vancouver, British Columbia",18.8
2018,"Victoria, British Columbia",4.2
2018,"Windsor, Ontario",2.1
2018,"Winnipeg, Manitoba",10.8
2019,"Abbotsford-Mission, British Columbia",1.7
2019,"Barrie, Ontario",1.7
2019,"Brantford, Ontario",
2019,"Calgary, Alberta",11.0
2019,"Edmonton, Alberta",13.5
2019,"Greater Sudbury, Ontario",
2019,"Guelph, Ontario",
2019,"Halifax, Nova Scotia",3.4
2019,"Hamilton, Ontario",5.3
2019,"Kelowna, British Columbia",1.7
2019,"Kingston, Ontario",2.1
2019,"Kitchener-Cambridge-Waterloo, Ontario",3.0
2019,"London, Ontario",3.1
2019,"Moncton, New Brunswick",1.4
2019,"Montréal, Quebec",20.4
2019,"Oshawa, Ontario",3.0
