Year,GEO,RATE_Robbery [1610]#Cleared otherwise#Number#units #35100177_StatsCanada,"RATE_Sexual assault, level 1 [1330]#Cleared by charge#Number#units #35100177_StatsCanada","RATE_Possession of weapons [3375]#Total, youth not charged#Number#units #35100177_StatsCanada","RATE_Theft $5,000 or under from a motor vehicle [2142]#Cleared by charge#Number#units #35100177_StatsCanada","RATE_Other Controlled Drugs and Substances Act, importation and exportation [4330]#Cleared otherwise#Number#units #35100177_StatsCanada","RATE_Uttering threats [1627]#Total, youth not charged#Number#units #35100177_StatsCanada",RATE_Criminal harassment [1625]#Actual incidents#Number#units #35100177_StatsCanada,"RATE_Total, all Criminal Code violations (including traffic) [25]#Cleared otherwise#Number#units #35100177_StatsCanada"
2004,Quebec [24],415,1502,66,1503,0,960,4678,52101
2004,"Québec, Quebec [24421]",7,111,4,208,40,61,331,2530
2004,"Regina, Saskatchewan [47705]",10,77,6,81,3,26,40,1507
2004,"Saguenay, Quebec [24408]",3,55,0,9,162,18,123,1100
2004,"Saint John, New Brunswick [13310]",3,21,1,13,0,18,176,1205
2004,Saskatchewan [47],44,469,47,342,9,364,1302,25516
2004,"Saskatoon, Saskatchewan [47725]",17,40,10,65,1,45,228,2927
2004,"Sherbrooke, Quebec [24433]",5,27,0,52,23,16,94,929
2004,"St. John's, Newfoundland and Labrador [10001]",0,19,2,17,0,7,57,327
2004,"St.Catharines-Niagara, Ontario [35539]",12,95,12,66,0,37,193,2904
2004,"Thunder Bay, Ontario [35595]",2,56,3,15,0,31,161,1493
2004,"Toronto, Ontario [35535]",120,1164,207,405,0,285,3061,21245
2004,"Trois-Rivières, Quebec [24442]",0,39,1,55,,11,76,945
2004,"Vancouver, British Columbia [59933]",91,328,206,419,124,217,1665,19958
2004,"Victoria, British Columbia [59935]",8,68,29,55,0,62,178,3846
2004,"Windsor, Ontario [35559]",17,53,5,23,430,49,186,2681
2004,"Winnipeg, Manitoba [46602]",33,261,42,66,0,115,183,3384
2004,Yukon [60],6,24,0,0,,23,76,3292
2005,"Abbotsford-Mission, British Columbia [59932]",6,46,16,6,1,32,170,1540
2005,Alberta [48],90,923,136,533,3,686,1782,48766
2005,"Barrie, Ontario [35568]",,,,,0,,,
2005,"Brantford, Ontario [35543]",,,,,10,,,
2005,British Columbia [59],126,1152,325,614,3,845,4204,57728
2005,"Calgary, Alberta [48825]",53,159,52,211,9,72,255,5708
2005,Canada,1282,9334,1362,4127,,5354,22711,340833
2005,"Edmonton, Alberta [48835]",19,210,22,154,2,134,325,6476
2005,"Greater Sudbury, Ontario [35580]",1,47,3,17,2,10,83,707
2005,"Guelph, Ontario [35550]",,,,,0,,,
2005,"Halifax, Nova Scotia [12205]",30,77,19,27,1,77,259,2748
2005,"Hamilton, Ontario [35537]",63,92,42,46,5,120,383,6190
2005,"Kelowna, British Columbia [59915]",,,,,,,,
2005,"Kingston, Ontario [35521]",6,41,12,11,277,16,323,1360
2005,"Kitchener-Cambridge-Waterloo, Ontario [35541]",9,95,82,29,0,86,242,2574
2005,"London, Ontario [35555]",10,116,19,45,0,29,166,3364
2005,Manitoba [46],31,544,64,241,,312,717,17501
2005,"Moncton, New Brunswick [13305]",,,,,,,,
2005,"Montréal, Quebec [24462]",327,624,23,612,,381,2085,20872
2005,New Brunswick [13],12,176,13,76,8,187,660,9791
2005,Newfoundland and Labrador [10],0,214,3,45,3,88,290,5496
2005,Northwest Territories [61],1,95,1,4,0,56,120,9654
2005,Nova Scotia [12],36,219,37,45,,336,745,12781
2005,Nunavut [62],1,169,0,2,0,23,77,4507
2005,Ontario [35],541,3629,682,1019,4,1501,8275,86039
2005,"Ottawa-Gatineau, Ontario part [35505]",24,119,40,62,1,58,304,4553
2005,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",42,178,41,153,0,119,555,7125
2005,"Ottawa-Gatineau, Quebec part [24505]",18,59,1,91,,61,251,2572
2005,"Peterborough, Ontario [35529]",,,,,25,,,
2005,Prince Edward Island [11],1,30,0,12,0,26,108,1500
2005,Quebec [24],396,1697,45,1315,171,889,4768,52990
2005,"Québec, Quebec [24421]",14,168,3,102,0,56,407,4005
2005,"Regina, Saskatchewan [47705]",5,80,6,83,120,34,30,1571
2005,"Saguenay, Quebec [24408]",1,29,0,15,0,16,117,932
2005,"Saint John, New Brunswick [13310]",1,27,0,30,42,19,162,1088
2005,Saskatchewan [47],46,457,51,221,1,389,952,30660
2005,"Saskatoon, Saskatchewan [47725]",16,48,17,60,0,39,237,2344
2005,"Sherbrooke, Quebec [24433]",4,22,0,18,1,8,102,1195
2005,"St. John's, Newfoundland and Labrador [10001]",0,36,0,14,2,5,88,334
2005,"St.Catharines-Niagara, Ontario [35539]",10,55,8,76,0,35,209,2667
2005,"Thunder Bay, Ontario [35595]",5,45,3,13,0,31,184,1543
2005,"Toronto, Ontario [35535]",352,1416,279,448,68,318,3208,27575
2005,"Trois-Rivières, Quebec [24442]",3,57,2,60,0,23,88,1095
2005,"Vancouver, British Columbia [59933]",85,325,209,234,384,196,1712,19771
2005,"Victoria, British Columbia [59935]",7,86,26,78,1,38,131,3178
2005,"Windsor, Ontario [35559]",17,84,3,22,0,68,190,2426
2005,"Winnipeg, Manitoba [46602]",23,227,16,221,0,65,135,2062
2005,Yukon [60],1,29,5,0,0,16,13,3420
2006,"Abbotsford-Mission, British Columbia [59932]",8,53,8,6,0,32,113,1856
2006,Alberta [48],80,923,143,468,0,823,1298,57745
2006,"Barrie, Ontario [35568]",2,48,11,9,0,22,177,2455
2006,"Brantford, Ontario [35543]",6,44,15,13,0,31,125,1246
2006,British Columbia [59],135,1211,368,546,0,771,3626,60712
2006,"Calgary, Alberta [48825]",46,201,35,249,2,75,271,5868
2006,Canada,1337,9171,1431,4082,0,5662,20824,365826
