Year,GEO,"RATE_British Columbia, province of destination#Persons#units#17100022_StatsCanada"
2009,"Manitoba, province of origin",3109
2009,"New Brunswick, province of origin",633
2009,"Newfoundland and Labrador, province of origin",439
2009,"Northwest Territories, province of origin",328
2009,"Nova Scotia, province of origin",1318
2009,"Nunavut, province of origin",62
2009,"Ontario, province of origin",14473
2009,"Prince Edward Island, province of origin",205
2009,"Quebec, province of origin",2543
2009,"Saskatchewan, province of origin",3037
2009,"Yukon, province of origin",452
2010,"Alberta, province of origin",21790
2010,"Manitoba, province of origin",2980
2010,"New Brunswick, province of origin",675
2010,"Newfoundland and Labrador, province of origin",394
2010,"Northwest Territories, province of origin",342
2010,"Nova Scotia, province of origin",1376
2010,"Nunavut, province of origin",76
2010,"Ontario, province of origin",14052
2010,"Prince Edward Island, province of origin",250
2010,"Quebec, province of origin",2557
2010,"Saskatchewan, province of origin",2945
2010,"Yukon, province of origin",417
2011,"Alberta, province of origin",21268
2011,"Manitoba, province of origin",3055
2011,"New Brunswick, province of origin",674
2011,"Newfoundland and Labrador, province of origin",464
2011,"Northwest Territories, province of origin",341
2011,"Nova Scotia, province of origin",1580
2011,"Nunavut, province of origin",67
2011,"Ontario, province of origin",14465
2011,"Prince Edward Island, province of origin",291
2011,"Quebec, province of origin",2705
2011,"Saskatchewan, province of origin",3173
2011,"Yukon, province of origin",510
2012,"Alberta, province of origin",18819
2012,"Manitoba, province of origin",2828
2012,"New Brunswick, province of origin",637
2012,"Newfoundland and Labrador, province of origin",449
2012,"Northwest Territories, province of origin",362
2012,"Nova Scotia, province of origin",1304
2012,"Nunavut, province of origin",75
2012,"Ontario, province of origin",12970
2012,"Prince Edward Island, province of origin",201
2012,"Quebec, province of origin",2611
2012,"Saskatchewan, province of origin",3024
2012,"Yukon, province of origin",550
2013,"Alberta, province of origin",22757
2013,"Manitoba, province of origin",3427
2013,"New Brunswick, province of origin",762
2013,"Newfoundland and Labrador, province of origin",439
2013,"Northwest Territories, province of origin",414
2013,"Nova Scotia, province of origin",1446
2013,"Nunavut, province of origin",82
2013,"Ontario, province of origin",15039
2013,"Prince Edward Island, province of origin",262
2013,"Quebec, province of origin",3235
2013,"Saskatchewan, province of origin",3822
2013,"Yukon, province of origin",596
2014,"Alberta, province of origin",26901
2014,"Manitoba, province of origin",3943
2014,"New Brunswick, province of origin",881
2014,"Newfoundland and Labrador, province of origin",512
2014,"Northwest Territories, province of origin",367
2014,"Nova Scotia, province of origin",1474
2014,"Nunavut, province of origin",90
2014,"Ontario, province of origin",17905
2014,"Prince Edward Island, province of origin",266
2014,"Quebec, province of origin",3662
2014,"Saskatchewan, province of origin",4438
2014,"Yukon, province of origin",587
2015,"Alberta, province of origin",29304
2015,"Manitoba, province of origin",4090
2015,"New Brunswick, province of origin",872
2015,"Newfoundland and Labrador, province of origin",496
2015,"Northwest Territories, province of origin",423
2015,"Nova Scotia, province of origin",1663
2015,"Nunavut, province of origin",51
2015,"Ontario, province of origin",17666
2015,"Prince Edward Island, province of origin",330
2015,"Quebec, province of origin",3788
2015,"Saskatchewan, province of origin",4551
2015,"Yukon, province of origin",554
2016,"Alberta, province of origin",26644
2016,"Manitoba, province of origin",3856
2016,"New Brunswick, province of origin",651
2016,"Newfoundland and Labrador, province of origin",507
2016,"Northwest Territories, province of origin",395
2016,"Nova Scotia, province of origin",1198
2016,"Nunavut, province of origin",57
2016,"Ontario, province of origin",15846
2016,"Prince Edward Island, province of origin",266
2016,"Quebec, province of origin",3295
2016,"Saskatchewan, province of origin",4062
2016,"Yukon, province of origin",433
2017,"Alberta, province of origin",24654
2017,"Manitoba, province of origin",3728
2017,"New Brunswick, province of origin",750
2017,"Newfoundland and Labrador, province of origin",591
2017,"Northwest Territories, province of origin",354
2017,"Nova Scotia, province of origin",1221
2017,"Nunavut, province of origin",57
2017,"Ontario, province of origin",15574
2017,"Prince Edward Island, province of origin",294
2017,"Quebec, province of origin",3282
2017,"Saskatchewan, province of origin",4308
2017,"Yukon, province of origin",487
2018,"Alberta, province of origin",22964
2018,"Manitoba, province of origin",3798
2018,"New Brunswick, province of origin",609
2018,"Newfoundland and Labrador, province of origin",608
2018,"Northwest Territories, province of origin",370
2018,"Nova Scotia, province of origin",1241
2018,"Nunavut, province of origin",74
2018,"Ontario, province of origin",15583
2018,"Prince Edward Island, province of origin",287
2018,"Quebec, province of origin",3260
2018,"Saskatchewan, province of origin",4139
2018,"Yukon, province of origin",501
2019,"Alberta, province of origin",23799
2019,"Manitoba, province of origin",4143
2019,"New Brunswick, province of origin",864
2019,"Newfoundland and Labrador, province of origin",446
2019,"Northwest Territories, province of origin",434
2019,"Nova Scotia, province of origin",1472
2019,"Nunavut, province of origin",78
2019,"Ontario, province of origin",17719
2019,"Prince Edward Island, province of origin",410
2019,"Quebec, province of origin",3456
2019,"Saskatchewan, province of origin",4507
2019,"Yukon, province of origin",426
